url,model,mileage,price
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA9KF327202/2019-tesla-model-3/,2019 Tesla Model 3,"5,873","$38,000"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA8JF034955/2018-tesla-model-3/,2018 Tesla Model 3,"16,241","$36,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA0JF169640/2018-tesla-model-3/,2018 Tesla Model 3,421,"$41,000"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA9KF308973/2019-tesla-model-3/,2019 Tesla Model 3,"2,775","$41,999"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA2JF009694/2018-tesla-model-3/,2018 Tesla Model 3,"14,489","$41,970"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB6JF064884/2018-tesla-model-3/,2018 Tesla Model 3,"14,690","$42,999"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA8JF009506/2018-tesla-model-3/,2018 Tesla Model 3,"19,048","$42,989"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA7JF158179/2018-tesla-model-3/,2018 Tesla Model 3,"10,292","$36,295"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EAXJF092758/2018-tesla-model-3/,2018 Tesla Model 3,"5,858","$37,695"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA0KF312295/2019-tesla-model-3/,2019 Tesla Model 3,"1,419","$36,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA1JF050219/2018-tesla-model-3/,2018 Tesla Model 3,"15,322","$38,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA3JF032465/2018-tesla-model-3/,2018 Tesla Model 3,"7,570","$39,980"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB4KF389003/2019-tesla-model-3/,2019 Tesla Model 3,"4,328","$49,998"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA3JF004665/2018-tesla-model-3/,2018 Tesla Model 3,"3,929","$41,000"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA2JF062833/2018-tesla-model-3/,2018 Tesla Model 3,"20,238","$39,999"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA9JF047892/2018-tesla-model-3/,2018 Tesla Model 3,"15,368","$42,000"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB7KF469119/2019-tesla-model-3/,2019 Tesla Model 3,"10,942","$49,911"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA5KF301714/2019-tesla-model-3/,2019 Tesla Model 3,"24,059","$39,214"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA5HF000398/2017-tesla-model-3/,2017 Tesla Model 3,"7,305","$38,888"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA7JF155153/2018-tesla-model-3/,2018 Tesla Model 3,"6,500","$43,500"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA9JF049593/2018-tesla-model-3/,2018 Tesla Model 3,"2,052","$43,900"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA3KF410432/2019-tesla-model-3/,2019 Tesla Model 3,"11,851","$40,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA1JF163068/2018-tesla-model-3/,2018 Tesla Model 3,"10,714","$43,495"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA3KF427330/2019-tesla-model-3/,2019 Tesla Model 3,"4,042","$41,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA5HF001177/2017-tesla-model-3/,2017 Tesla Model 3,"11,237","$39,988"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA5HF002068/2017-tesla-model-3/,2017 Tesla Model 3,"12,875","$39,999"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA5JF172291/2018-tesla-model-3/,2018 Tesla Model 3,"14,183","$43,999"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB8JF185982/2018-tesla-model-3/,2018 Tesla Model 3,"5,300","$52,527"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA3JF164724/2018-tesla-model-3/,2018 Tesla Model 3,"13,997","$43,975"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA2KF416805/2019-tesla-model-3/?zipcode=77477,2019 Tesla Model 3,"8,328","$41,980"
